Year,Category,Title,Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Note
2015,VEGETABLES,Mushrooms,Button - Indoor,-,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Mushrooms,Cup - Indoor,-,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Mushrooms,Flat - Indoor,-,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Parsnips,All Varieties,-,$/kg,0.78,0.8,0.77,0.78,0.76,,,,,,,,
2015,VEGETABLES,Rhubarb,Forced,-,$/kg,3.76,3.45,3.62,3.84,5.65,,,,,,,,
2015,VEGETABLES,Rhubarb,Outdoor,-,$/kg,,,2.68,1.86,1.3,,,,,,,,
2015,VEGETABLES,Runner Beans,Runner-Climbing,-,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Salad Onions,Salad,-,$/bunch,,,,0.24,0.24,,,,,,,,
2015,VEGETABLES,Shelling Peas,All Varieties,-,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Spinach,Leaf - Loose/bunches,-,$/kg,,,,0.95,0.81,,,,,,,,
2015,VEGETABLES,Swede,All Varieties,-,$/kg,0.3,0.29,0.28,0.28,0.28,,,,,,,,
2015,VEGETABLES,Sweetcorn,All Varieties,-,$/cob,,,,,,,,,,,,,
2015,VEGETABLES,Tomatoes,Round,1st,$/kg,,,1.37,1.11,0.91,,,,,,,,
2015,VEGETABLES,Tomatoes,Round,2nd,$/kg,,,0.62,,0.46,,,,,,,,
2015,VEGETABLES,Tomatoes,Round,Ave,$/kg,,,1.1,1.11,0.86,,,,,,,,
2015,VEGETABLES,Tomatoes,Vine,1st,$/kg,,,0.88,1,1.07,,,,,,,,
2015,VEGETABLES,Tomatoes,Vine,2nd,$/kg,,,0.71,,,,,,,,,,
2015,VEGETABLES,Tomatoes,Vine,Ave,$/kg,,,0.75,1,1.07,,,,,,,,
2015,VEGETABLES,Tomatoes,Cherry,1st,$/kg,,,,2.91,2.37,,,,,,,,
2015,VEGETABLES,Tomatoes,Cherry,2nd,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Tomatoes,Cherry,Ave,$/kg,,,,2.91,2.37,,,,,,,,
2015,VEGETABLES,Tomatoes,Plum,1st,$/kg,,,,,1.02,,,,,,,,
2015,VEGETABLES,Tomatoes,Plum,2nd,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Tomatoes,Plum,Ave,$/kg,,,,,1.02,,,,,,,,
2015,VEGETABLES,Turnip,All Varieties,-,$/kg,0.92,0.52,0.7,0.96,0.84,,,,,,,,
2015,VEGETABLES,Watercress,All Varieties,-,$/bunch,0.52,0.56,0.54,0.55,0.56,,,,,,,,
2015,CUT FLOWERS,Alstromeria,Indoor,-,$/bunch(1),1.18,1.22,1.29,1.14,1.19,,,,,,,,
2015,CUT FLOWERS,Chrysanthemums,Indoor-bloom,-,$/bloom,,,,,,,,,,,,,
2015,CUT FLOWERS,Chrysanthemums,Indoor-spray,-,$/spray,0.24,,,0.63,,,,,,,,,
2015,CUT FLOWERS,Gladioli,All Varieties,-,$/bunch(1),,,,,,,,,,,,,
2015,CUT FLOWERS,Irises,Indoor,-,$/bunch(1),,0.88,0.95,0.8,0.56,,,,,,,,
2015,Narcissus-inc.Daffodils,Oriental Lilies,Homegrown,-,$/stem,,,,0.79,0.7,,,,,,,,
2015,Narcissus-inc.Daffodils,Pinks,All Varieties,-,$/bunch(3),,,,,0.4,,,,,,,,
2015,Narcissus-inc.Daffodils,Tulips,Indoor,-,$/bunch(4),0.77,0.86,0.85,0.88,0.83,,,,,,,,
2015,POT PLANTS,Begonia-Elatior,13cm,-,$ each,1.25,1.13,1.08,1.1,1.2,,,,,,,,
2015,POT PLANTS,Cyclamen,13cm,-,$ each,1.37,,1.3,,,,,,,,,,
2015,POT PLANTS,Poinsettia,13cm,-,$ each,,,,,,,,,,,,,
2015,POT PLANTS,Chrysanthemum,13cm,-,$ each,1.25,1.19,1.21,1.23,1.23,,,,,,,,
